Lone Rider
Flickerwisp
Celestial Archon
Tragic Arrogance
Swords to Plowshares
Secure the Wastes
Wall of Omens
Sram's Expertise
Fated Retribution
Glory-Bound Initiate
Banisher Priest
Leonin Relic-Warder
Hallowed Spiritkeeper
"Anafenza, Kin-Tree Spirit"
Archon of Justice
Banishing Stroke
Faith's Fetters
High Sentinels of Arashin
Blessed Alliance
Wingmate Roc
Eidolon of Countless Battles
Great Teacher's Decree
Angel of Condemnation
Skywhaler's Shot
Lingering Souls
Condemn
Adorned Pouncer
Protector of the Crown
Silverblade Paladin
Retreat to Emeria
Citadel Siege
Herald of Anafenza
Karmic Guide
Custodi Soulbinders
Seeker of the Way
Dusk//Dawn
"Avacyn, Guardian Angel"
Bellowing Aegisaur
Extractor of Sin
Soul of Theros
Archetype of Imagination
Preordain
Brainstorm
Delver of Secrets
Treasure Cruise
Dissolve
Counterspell
Serum Visions
Epiphany at the Drownyard
Chasm Skulker
Supplant Form
Pearl Lake Ancient
Reality Shift
Mana Leak
Aether Figment
Profaner of the Dead
Disdainful Stroke
Niblis of Frost
Commit//Memory
Stratus Dancer
Fact or Fiction
Jeskai Infiltrator
Dungeon Geists
Baral's Expertise
Champion of Wits
Perilous Voyage
Living Lore
Frost Walker
Censor
"Keiga, the Tide Star"
Keeper of Keys
Hypnotic Siren
Cloudfin Raptor
Arcane Savant
Muldrifter
Darkslick Drake
Wharf Infiltrator
Jace's Archivist
Aetherspouts
Fated Infatuation
Dreamstealer
"Sidisi, Undead Vizier"
Skinrender
Voldaren Pariah
Nantuko Husk
Fleshbag Marauder
Grim Haruspex
Brain Maggot
Painful Truths
Enslave
Mindwrack Demon
Necropolis Fiend
Dread Return
Guul Draz Assassin
Doom Blade
Pitiless Horde
Keepsake Gorgon
Night's Whisper
Sinister Concoction
Vampire Nighthawk
Silumgar Assassin
Dread Wanderer
Night Howler
Bone Shredder
Gilt-Leaf Winnower
Tombstalker
Fated Return
Archdemon of Paliano
Smuggler Captain
Whip of Erebos
Despoiler of Souls
Executioner's Capsule
Never//Return
Herald of Torment
"Nefarox, Overlord of Grixis"
Evil Eye of Urborg
Murderous Cut
Regicide
Deadly Wanderings
Soul of Innistrad
Flowstone Slide
Magma Jet
Akoum Firebird
Thuderbreak Regent
"Grenzo, Havoc Raiser"
Dragon Fodder
Radiant Flames
Heart-Piercer Manticore
Goldnight Castigator
Mizzium Mortars
Frenzied Goblin
Wolf of Devil's Breach
Zurgo Bellstriker
Fated Conflagration
Flamewake Phoenix
Hordeling Outburst
Rampaging Ferocidon
Scab-Clan Berserker
Mondronen Shaman
Ire Shaman
Abbot of Keral Keep
Smoldering Werewolf
Lightning Berserker
Avaricious Dragon
Hamnweir Garrison
Exquisite Firecraft
Bonfire of the Damned
Breakneck Rider
Lightning Bolt
Abrade
Banefire
Volatile Chimera
Anger of the Gods
Collective Defiance
Dragon Whisperer
Prophetic Flamespeaker
Ogre Battledriver
Bedlam Reveler
Chaos Warp
Moltensteel Dragon
Birthing Pod
Tireless Tracker
Mouth//Feed
Animus of Predation
Birds of Paradise
Arbor Colossus
Deathcap Cultivator
Thragtusk
Woodland Wanderer
Ulvernwald Tracker
Vizier of the Menagerie
Fated Intervention
Heir of the Wilds
Thicket Elemental
Pelakka Wurm
Honored Hydra
Courser of Kruphix
Gather the Pack
Become Immense
Eternal Witness
Permeating Mass
Experiment One
Caller of the Untamed
Rancor
Sage of Ancient Lore
Constant Mists
Awakening Zone
Elvish Mystic
Tangleclaw Werewolf
Genesis Hydra
Emperor's Vanguard
Autumnal Gloom
Ulvenwald Hydra
Frontier Siege
Sandwurm Convergence
Den Protector
"Polukranos, World Eater"
Satyr Wayfinder
Vessel of Nascency
Seasons Past
Ghost Quarter
Temple of Epiphany
Temple of Triumph
Temple of Enlightenment
Temple of Abandon
Temple of Deceit
Temple of Mystery
Temple of Malady
Temple of Malice
Temple of Silence
Temple of Plenty
Kessig Wolf Run
Hanweir Battlements
Ancient Ziggurat
"Paliano, the High City"
Cascading Cataracts
Westvale Abbey
Lumbering Falls
Shambling Vents
Stirring Wildwood
Jungle Shrine
Mystic Monastery
Sandsteppe Citadel
Arcane Sanctum
Frontier Bivouac
Nomad Outspost
Opulent Palace
Seaside Citadel
Savage Lands
Crumbling Necropolis
Aether Searcher
Oracle's Vault
Kitesail
Elixir of Immortality
God-Pharoah's Gift
Pilgrim's Eye
Hedron Archive
Sword of the Animist
Alloy Myr
Bloodforged Battle-Axe
Perilous Vault
Key to the City
Bonesplitter
Scuttling Doom Engine
Smuggler's Copter
Quietus Spike
Backup Plan
Solemn Simulacrum
Mirage Mirror
Myr Battlesphere
Decimator of the Provinces
Hymn of the Wilds
Cryptolith Fragment
Sovereign's Realm
Throne of the God-Pharoah
Treasure Keeper
Distended Mindbender
Hangerback Walker
Vexing Scuttler
Mockery of Nature
Daxos of Meletis
Ojutai's Command
Cloudblazer
Spire Patrol
Invocation of Saint Taft
Windreaver
Godhead of Awe
Render Silent
Death Grasp
Alms Beast
Restoration Gearsmith
Triad of Fates
Campaign of Vengeance
Gift of Orzhova
Deathpact Angel
Tidehollow Sculler
Honored Crop-Captain
Aurelia's Fury
Foundry Champion
Boros Charm
Figure of Destiny
Sky Terror
Spark Trooper
Deflecting Palm
Fleecemane Lion
Armadillo Cloak
Advent of the Wurm
"Mirri, Weatherlight Duelist"
Phytohydra
Juniper Order Ranger
Enlisted Wurm
Dromoka's Command
Nightveil Specter
Kathari Remnant
Rags//Riches
Sire of Stagnation
Undermine
Dimir Cutpurse
Silumgar's Command
"Taigam, Sidisi's Hand"
Refuse//Cooperate
Marchesa's Smuggler
Blookwater Entity
Izzet Charm
Fire//Ice
Etherium-Horm Sorcerer
Mindswipe
"Jori En, Ruin Diver"
Shardless Agent
Reason//Believe
Coiling Oracle
Elusive Krasis
Urban Evolution
"Rachmi, Eternities Crafter"
Nimbus Swimmer
Voidslime
Cut//Ribbons
Terminate
Spontaneous Combustion
Hellhole rats
Shambling Remains
Carnival Hellsteed
Bituminous Blast
Carnage Gladiator
Driven//Despair
Grisly Salvage
Pharika's Mender
Lotleth Troll
Creakwood Liege
Nyx Weaver
Putrefy
Reaper of the Wilds
Bloodbraid Elf
"Samut, Voice of Dissent"
Clan Defiance
Gruul War Chant
Destructive Revelry
Zendikar Incarnate
Apocalypse Hydra
Savage Ventmaw
